raw_SMILES,reaxys_id,SMILES,cas_number
CC1=C(Br)C=CC=N1,774175,Cc1ncccc1Br,38749-79-0
OC1=NC=C(Br)C=C1,108751,Oc1ccc(Br)cn1,13466-38-1
COC(=O)C1=NC(Br)=CN=C1N,141714,COC(=O)c1nc(Br)cnc1N,6966-01-4
BrC1=C2N=CC=CC2=CC=C1,115147,Brc1cccc2cccnc12,16567-18-3
BrC1=NC=CN=C1,107022,Brc1cnccn1,56423-63-3
COC(=O)C1=CC=C(Br)S1,123078,COC(=O)c1ccc(Br)s1,62224-19-5
BrC1=CC=C(N=C1)C1=CC=CC=C1,4663206,Brc1ccc(-c2ccccc2)nc1,27012-25-5
NC1=NN=C(Cl)C=C1Br,14346883,Nc1nnc(Cl)cc1Br,446273-59-2
OCC1=CC=C(Br)C=N1,1447472,OCc1ccc(Br)cn1,88139-91-7
FC1=NC(Br)=CC=C1,1561397,Fc1cccc(Br)n1,144100-07-2
COC(=O)C1=CC(Br)=CN1,471883,COC(=O)c1cc(Br)c[nH]1,934-05-4
BrC1=CSC=N1,506871,Brc1cscn1,34259-99-9
[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)[C@]1(C[C@@H](COC(=O)C1=CC(Br)=CN=C1)CN2C)OC,903548,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,0
COC1=NC2=CC=C(Br)C=C2C=C1[C@@H](C1=CC=CC=C1)C(O)(CCN(C)C)C1=CC=CC2=CC=CC=C12,10733008,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,843663-66-1
BrC1=CC2=CC=CC=C2S1,112802,Brc1cc2ccccc2s1,5394-13-8
BrC1=CC2=C(C=C1)N(C1=C2C=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,14570958,Brc1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccccc2)cc1,894791-46-9
CCOC(=O)C1=CC2=CC(Br)=CC=C2N1,170256,CCOC(=O)c1cc2cc(Br)ccc2[nH]1,16732-70-0
COC(=O)C1=CC=C(Br)N=C1,128655,COC(=O)c1ccc(Br)nc1,26218-78-0
BrC1=CC=CC2=C1C=NN2,9757929,Brc1cccc2[nH]ncc12,186407-74-9
BrC1=CC=NC2=C1C=CC=C2,81238,Brc1ccnc2ccccc12,3964-04-3
NC1=NC=C(Br)S1,112073,Nc1ncc(Br)s1,3034-22-8
CC1=CC=NC=C1Br,878354,Cc1ccncc1Br,3430-22-6
BrC1=CC=CC2=C1NC1=CC=CC=C21,141561,Brc1cccc2c1[nH]c1ccccc12,16807-11-7
FC(F)(F)C1=C(Br)C(C#N)=C(N1)C1=CC=C(Cl)C=C1,8395181,N#Cc1c(-c2ccc(Cl)cc2)[nH]c(C(F)(F)F)c1Br,122454-29-9
BrC1=CC=CO1,104662,Brc1ccco1,584-12-3
BrC1=CN=CC(=C1)C#N,113941,N#Cc1cncc(Br)c1,35590-37-5
ClC1=NC=CC(Br)=C1,108667,Clc1cc(Br)ccn1,73583-37-6
CCCCCCC1=C(Br)SC=C1,1563003,CCCCCCc1ccsc1Br,69249-61-2
[H]C(=O)C1=CC=NC=C1Br,386028,O=Cc1ccncc1Br,70201-43-3
NC1=NN=C(Br)S1,775053,Nc1nnc(Br)s1,37566-39-5
CN1C=NC(Br)=C1,108102,Cn1cnc(Br)c1,25676-75-9
